ct,mean_omega,std_omega,n_pairs
b cell,2.7049871938495182,,1
neutrophil,2.7208560166725633,1.2248435438427272,6
smooth muscle cell,6.2911176343409565,,1
plasma cell,6.611027878428557,3.421365909419879,6
erythrocyte,6.896671336138996,6.309403454793275,3
"cd8-positive, alpha-beta t cell",8.263427313412853,3.729602299736133,6
intermediate monocyte,8.628530595213439,,1
hepatocyte,8.774615256278363,,1
nk cell,9.46868740716237,3.4145318443015387,10
hematopoietic stem cell,9.662862897796114,,1
macrophage,9.840155956094941,6.3052523156189455,15
"cd4-positive, alpha-beta t cell",10.557967628796103,,1
classical monocyte,11.641507296363622,,1
monocyte,11.80422096789925,,1
naive b cell,12.362834253238027,,1
endothelial cell,15.09272101073546,6.462250150864771,3
memory b cell,16.82603551875174,,1
